gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,2485.3572000000004,2718.4832,2824.5152,2220.1232000000005,2239.0272000000004,2882.5991999999997
40,2485.3572000000004,2718.4832,2824.5152,2220.1232000000005,2239.0272000000004,2882.5991999999997
60,2485.3572000000004,2718.4832,2824.5152,2220.1232000000005,2239.0272000000004,2882.5991999999997
80,2485.3572000000004,2718.4832,2824.5152,2220.1232000000005,2239.0272000000004,2882.5991999999997
100,2485.3572000000004,2718.4832,2824.5152,2220.1232000000005,2239.0272000000004,2882.5991999999997
