gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,1996.4672000000007,3121.6732000000015,3023.827200000001,2053.5572,2761.4012000000007,3112.2112
40,1996.4672000000007,3121.6732000000015,3023.827200000001,2053.5572,3141.0592,3112.2112
60,1996.4672000000007,2833.931200000001,3023.827200000001,2053.5572,3628.6912,2681.9472
80,1996.4672000000007,2833.931200000001,3023.827200000001,2053.5572,3628.6912,2681.9472
100,1996.4672000000007,2833.931200000001,3023.827200000001,2053.5572,3628.6912,2681.9472
