gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,3902.6679999999988,8699.405999999999,10688.289999999999,5703.317999999998,11796.401999999995,9780.408
40,3799.135999999998,7547.722000000003,10623.838,5989.319999999999,11288.927999999996,9780.408
60,3799.135999999998,7547.722000000003,10623.838,5989.319999999999,12895.563999999998,9780.408
80,3799.135999999998,7547.722000000003,10623.838,7303.316000000001,12895.563999999998,9780.408
100,5578.575999999998,7547.722000000003,10623.838,7255.575999999999,12299.589999999997,9780.408
