gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,17782.20200000001,46200.34399999999,28404.908000000007,43403.47200000001,43240.87800000002,42877.94400000001
40,17782.20200000001,46200.34399999999,28404.908000000007,43403.47200000001,43240.87800000002,42877.94400000001
60,17782.20200000001,46200.34399999999,28666.26800000001,43403.47200000001,43240.87800000002,42877.94400000001
80,17782.20200000001,48631.82999999999,28666.98800000001,43403.47200000001,49644.622,42877.94400000001
100,18592.60200000001,48631.82999999999,28666.98800000001,43403.47200000001,49724.852000000006,42877.94400000001
