gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,1525.755200000001,3530.803200000001,2296.003200000001,3549.121200000001,2324.9772000000003,3340.0732
40,1525.755200000001,3605.8752000000018,2296.003200000001,3549.121200000001,2324.9772000000003,3052.8632
60,2074.9192000000016,4204.857200000001,2296.003200000001,3497.5332000000008,2324.9772000000003,3052.8632
80,1937.8592000000017,4314.497200000001,2617.181200000001,3497.5332000000008,2324.9772000000003,3052.8632
100,1937.8592000000017,4066.9752000000008,2647.901200000001,3497.5332000000008,2324.9772000000003,3052.8632
