policy,generation,mean,std,min,max
RRFIFO,20,2860.8016000000002,664.6880781855302,1170.7392000000002,4197.939200000002
RRFIFO,40,2912.169733333334,707.4383277710143,1170.7392000000002,4212.2312
RRFIFO,60,2917.1612666666674,734.9465351009753,1170.7392000000002,4701.1152
RRFIFO,80,2896.7773333333334,679.4693318114137,1170.7392000000002,4197.939200000002
RRFIFO,100,2968.9860000000003,598.4309411966375,2053.5572,4197.939200000002
RRLTP,20,2859.2006666666666,596.2814042455532,1690.139200000001,4223.591200000001
RRLTP,40,2917.9780000000005,651.0678321290545,1690.139200000001,4439.807200000001
RRLTP,60,2914.417466666667,658.8264079780516,1690.139200000001,4437.607200000001
RRLTP,80,2952.1974,671.5444537453149,1690.139200000001,4437.607200000001
RRLTP,100,3091.2249333333334,657.9505837344186,1690.139200000001,4437.607200000001
RRECA,20,2624.8436,581.9098463866262,1347.0732000000003,3537.9332000000013
RRECA,40,2691.6299999999997,624.7462120243923,1347.0732000000003,3698.9672000000005
RRECA,60,2677.2706666666663,622.5127579612451,1347.0732000000003,3898.3932
RRECA,80,2812.0812,552.0149651708128,1557.595199999999,3918.1932
RRECA,100,2841.9698666666663,564.9060392075444,1557.595199999999,3898.3932
