gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,19512.280000000024,36073.751999999986,35950.75200000001,40768.72800000002,39803.90400000002,39061.026000000034
40,19512.280000000024,40127.86799999998,42612.184,47322.23000000002,39803.90400000002,45171.62000000003
60,19512.280000000024,39991.976,41802.08800000002,47241.659999999996,39803.90400000002,42482.98200000002
80,19512.280000000024,39981.746,41788.30800000002,47241.659999999996,39803.90400000002,42482.98200000002
100,19512.280000000024,39981.746,41788.30800000002,47241.659999999996,39803.90400000002,42482.98200000002
