gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,25772.91,47389.95600000004,39444.302000000025,44097.11800000002,35621.103999999985,45277.038
40,26319.341999999997,48859.84600000003,41973.63800000002,47359.31600000002,39540.054,44379.918000000005
60,24200.889999999992,47800.276,37363.41600000003,47782.89000000003,35839.565999999984,40345.689999999995
80,24200.889999999992,47800.276,37363.41600000003,47782.89000000003,35839.565999999984,40345.689999999995
100,24200.889999999992,47800.276,37363.41600000003,47782.89000000003,35839.565999999984,40725.40999999999
