gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,5497.412,10378.371999999994,9477.504,7758.155999999993,8719.871999999994,7489.049999999993
40,5498.952,9956.809999999994,9477.504,7758.155999999993,8719.871999999994,7753.665999999994
60,5498.952,9956.809999999994,9477.504,7758.155999999993,8719.871999999994,7753.665999999994
80,5498.952,10693.041999999998,9477.504,7758.155999999993,8719.871999999994,7753.665999999994
100,5330.652,10693.041999999998,9477.504,7758.155999999993,8719.871999999994,7721.385999999995
