generation,policy,min,max,mean,std
20,FIFO,2213.597999999998,7834.251999999991,4994.035933333331,1624.1059998455335
20,LTP,5034.719999999995,11605.475999999997,9047.942399999998,1632.8011194923815
20,STP,6270.703999999995,10688.289999999999,8873.183533333333,1241.9194311285191
20,RRFIFO,4541.111999999993,12052.296000000002,8541.550533333331,1740.2022082960325
20,RRLTP,5010.851999999998,11951.853999999996,8956.053133333333,1526.8297073309066
20,RRECA,6096.063999999999,12457.651999999993,9357.965599999998,1598.8407456592959
40,FIFO,2166.4399999999982,7834.251999999991,5015.936333333331,1744.7386637957425
40,LTP,5034.719999999995,11534.18,8870.765466666662,1641.799941660773
40,STP,6270.703999999995,10720.201999999997,8904.0816,1206.918083664936
40,RRFIFO,4541.111999999993,11539.56,8547.76253333333,1711.9583353711973
40,RRLTP,5010.851999999998,11931.193999999998,8786.027133333331,1498.6646697781491
40,RRECA,6096.063999999999,13459.039999999997,9513.225799999997,1824.1490170171478
60,FIFO,2166.4399999999982,7940.857999999997,5028.8663333333325,1775.8147272793274
60,LTP,5034.719999999995,12590.525999999996,8955.704999999996,1749.3718459029992
60,STP,6270.703999999995,10720.201999999997,8882.082933333333,1217.4538985744236
60,RRFIFO,4541.111999999993,11539.56,8547.76253333333,1711.9583353711973
60,RRLTP,5010.851999999998,12895.563999999998,8945.581733333333,1682.0404207626507
60,RRECA,6216.2880000000005,13459.039999999997,9506.882933333332,1794.094601926348
80,FIFO,2166.4399999999982,9390.348,5144.472066666664,1792.8778638551278
80,LTP,5034.719999999995,12590.525999999996,8977.696999999996,1747.614360951962
80,STP,6270.703999999995,12838.651999999995,9122.1748,1391.8536150179586
80,RRFIFO,5887.567999999993,11539.56,8702.199266666667,1528.7211411964354
80,RRLTP,5010.851999999998,12895.563999999998,9082.917066666667,1683.296694195034
80,RRECA,6397.247999999997,14062.427999999998,9643.627466666663,1853.9284394822382
100,FIFO,2166.4399999999982,9390.348,5103.714533333332,1724.1265910842258
100,LTP,5034.719999999995,12590.525999999996,9022.980599999997,1728.2491885747763
100,STP,6270.703999999995,11594.207999999999,9138.306266666665,1325.3774061073805
100,RRFIFO,5887.567999999993,12556.879999999997,9073.194866666665,1726.1918440238862
100,RRLTP,6087.743999999995,12299.589999999997,9223.089866666667,1431.4099543211166
100,RRECA,6923.105999999996,14062.427999999998,9782.040999999996,1793.1606321341278
