job,operation,machine,start,end,duration,energy
8,6,1,0.0,2.9,2.9,3.1
7,6,6,0.0,3.9,3.9,2.8
4,6,8,0.0,4.5,4.5,4.9
3,6,2,0.0,6.3,6.3,9.7
1,6,10,0.0,5.3,5.3,3.5
9,8,3,0.0,2.6,2.6,1.7
7,8,2,6.3,10.7,4.3999999999999995,5.3
4,8,10,5.3,11.3,6.000000000000001,7.1
3,8,5,6.3,11.2,4.8999999999999995,6.0
1,8,3,5.3,7.9,2.6000000000000005,1.7
9,2,8,4.5,8.2,3.6999999999999993,2.9
7,2,4,10.7,13.5,2.8000000000000007,3.4
5,2,4,13.5,16.3,2.8000000000000007,3.4
3,2,8,11.2,14.899999999999999,3.6999999999999993,2.9
2,2,8,14.899999999999999,18.599999999999998,3.6999999999999993,2.9
10,4,2,10.7,15.6,4.9,3.5
9,3,9,8.2,17.1,8.900000000000002,9.1
8,4,7,2.9,7.0,4.1,5.9
6,3,7,7.0,12.6,5.6,4.7
5,4,8,18.599999999999998,25.9,7.300000000000001,6.3
3,3,10,14.899999999999999,18.4,3.5,2.6
3,4,2,18.4,23.299999999999997,4.899999999999999,3.5
2,4,4,18.599999999999998,21.9,3.3000000000000007,2.1
1,3,8,25.9,30.099999999999998,4.199999999999999,5.8
9,5,8,30.099999999999998,35.3,5.199999999999999,4.1
8,5,10,18.4,25.799999999999997,7.399999999999999,6.8
6,5,1,12.6,20.7,8.1,4.2
4,5,5,11.3,15.100000000000001,3.8000000000000007,2.7
3,5,5,23.299999999999997,27.099999999999998,3.8000000000000007,2.7
2,5,3,21.9,27.4,5.5,3.8
10,7,2,23.299999999999997,31.099999999999998,7.800000000000001,2.5
6,7,3,27.4,31.299999999999997,3.8999999999999986,4.9
4,7,1,20.7,25.299999999999997,4.599999999999998,6.8
3,7,1,27.099999999999998,31.699999999999996,4.599999999999998,6.8
2,7,2,31.099999999999998,38.9,7.800000000000001,2.5
10,1,10,31.099999999999998,35.9,4.800000000000001,4.1
8,1,7,25.799999999999997,28.699999999999996,2.8999999999999986,3.8
5,1,1,31.699999999999996,35.9,4.200000000000003,2.1
3,1,1,35.9,40.1,4.200000000000003,2.1
1,1,9,30.099999999999998,35.599999999999994,5.4999999999999964,5.2
