policy,generation,mean,std,min,max
RRFIFO,20,8541.550533333331,1740.2022082960325,4541.111999999993,12052.296000000002
RRFIFO,40,8547.76253333333,1711.9583353711973,4541.111999999993,11539.56
RRFIFO,60,8547.76253333333,1711.9583353711973,4541.111999999993,11539.56
RRFIFO,80,8702.199266666667,1528.7211411964354,5887.567999999993,11539.56
RRFIFO,100,9073.194866666665,1726.1918440238862,5887.567999999993,12556.879999999997
RRLTP,20,8956.053133333333,1526.8297073309066,5010.851999999998,11951.853999999996
RRLTP,40,8786.027133333331,1498.6646697781491,5010.851999999998,11931.193999999998
RRLTP,60,8945.581733333333,1682.0404207626507,5010.851999999998,12895.563999999998
RRLTP,80,9082.917066666667,1683.296694195034,5010.851999999998,12895.563999999998
RRLTP,100,9223.089866666667,1431.4099543211166,6087.743999999995,12299.589999999997
RRECA,20,9357.965599999998,1598.8407456592959,6096.063999999999,12457.651999999993
RRECA,40,9513.225799999997,1824.1490170171478,6096.063999999999,13459.039999999997
RRECA,60,9506.882933333332,1794.094601926348,6216.2880000000005,13459.039999999997
RRECA,80,9643.627466666663,1853.9284394822382,6397.247999999997,14062.427999999998
RRECA,100,9782.040999999996,1793.1606321341278,6923.105999999996,14062.427999999998
