gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,3428.3699999999985,9060.607999999995,8693.703999999996,12052.296000000002,11407.543999999998,9197.180000000002
40,2832.3899999999985,8116.055999999996,8333.253999999997,11539.56,10115.559999999998,9160.980000000001
60,2832.3899999999985,8116.055999999996,8333.253999999997,11539.56,10115.559999999998,9160.980000000001
80,4488.319999999999,8116.055999999996,8333.253999999997,11539.56,10115.559999999998,9160.980000000001
100,4488.319999999999,8116.055999999996,8333.253999999997,11539.56,10115.559999999998,9160.980000000001
