gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,2213.597999999998,10988.873999999998,10456.794000000004,10313.768,9411.171999999995,6096.063999999999
40,2166.4399999999982,11534.18,10456.794000000004,10313.768,9683.295999999993,6096.063999999999
60,2166.4399999999982,11534.18,10456.794000000004,10313.768,9683.295999999993,6216.2880000000005
80,2166.4399999999982,11019.06,10456.794000000004,10313.768,9683.295999999993,7932.408
100,2166.4399999999982,11019.06,10456.794000000004,10313.768,9683.295999999993,7932.408
