gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,2112.3972000000003,2289.1671999999985,3358.6332,2786.503200000001,2411.4732000000004,1953.4351999999994
40,2112.3972000000003,2289.1671999999985,3358.6332,2786.503200000001,2411.4732000000004,1953.4351999999994
60,2112.3972000000003,2289.1671999999985,3358.6332,2786.503200000001,2411.4732000000004,1953.4351999999994
80,2112.3972000000003,2289.1671999999985,3358.6332,2786.503200000001,2411.4732000000004,1953.4351999999994
100,2112.3972000000003,2289.1671999999985,3358.6332,2786.503200000001,2411.4732000000004,1953.4351999999994
