gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,20928.34,45262.37600000003,36163.36800000003,43121.44,37341.72000000001,35755.356
40,20928.34,43971.00800000002,36359.15800000003,43121.44,37341.72000000001,34874.291999999994
60,20928.34,43971.00800000002,36359.15800000003,43121.44,37341.72000000001,43523.69200000001
80,20928.34,43971.00800000002,36359.15800000003,43121.44,37341.72000000001,43790.84800000001
100,20928.34,43971.00800000002,36359.15800000003,43121.44,37341.72000000001,43672.56800000001
