gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,6897.674000000001,5782.415999999999,6270.703999999995,5887.567999999993,8783.839999999991,6923.105999999996
40,6897.674000000001,5782.415999999999,6270.703999999995,5887.567999999993,8783.839999999991,6923.105999999996
60,6897.674000000001,5782.415999999999,6270.703999999995,5887.567999999993,8783.839999999991,6923.105999999996
80,6897.674000000001,5782.415999999999,6270.703999999995,5887.567999999993,8783.839999999991,6923.105999999996
100,6897.674000000001,5782.415999999999,6270.703999999995,5887.567999999993,8783.839999999991,6923.105999999996
