gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,1848.3072000000002,2242.0232,3471.9212,2603.027200000001,2712.4271999999996,2798.3452
40,2714.8912000000005,3072.4112000000014,3471.9212,2603.027200000001,2712.4271999999996,3698.9672000000005
60,2714.8912000000005,3565.6912000000016,3471.9212,2603.027200000001,2712.4271999999996,3491.5072000000005
80,2437.4272,3371.4872000000014,3471.9212,2603.027200000001,3710.5152000000003,3216.179200000001
100,2437.4272,3371.4872000000014,3471.9212,2603.027200000001,3710.5152000000003,3216.179200000001
