gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,2362.5920000000015,10504.519999999999,8579.946000000002,7084.837999999996,6815.936000000002,9837.323999999997
40,2362.5920000000015,10365.192000000001,8579.946000000002,8186.327999999997,6815.936000000002,9837.323999999997
60,2362.5920000000015,10365.192000000001,8579.946000000002,8186.327999999997,6815.936000000002,9837.323999999997
80,2362.5920000000015,10365.192000000001,8579.946000000002,8186.327999999997,6815.936000000002,9837.323999999997
100,2362.5920000000015,10365.192000000001,8579.946000000002,9270.864000000001,7725.568000000002,9837.323999999997
