gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,3493.455999999999,10028.475999999993,9720.36,9024.372000000001,9418.751999999993,6666.051999999992
40,3518.715999999999,9459.959999999995,9720.36,9024.372000000001,9531.789999999995,6666.051999999992
60,3306.5319999999997,9459.959999999995,9720.36,9024.372000000001,11567.507999999996,6666.051999999992
80,3306.5319999999997,9459.959999999995,9720.36,9024.372000000001,11719.654,6666.051999999992
100,3306.5319999999997,9459.959999999995,9720.36,10757.803999999998,11556.883999999996,7649.109999999994
