gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,24563.07,43579.92000000001,40232.28200000003,34689.11600000001,37662.62600000003,36182.11799999999
40,24563.07,43579.92000000001,40232.28200000003,34689.11600000001,37662.62600000003,36182.11799999999
60,24563.07,43579.92000000001,41146.09200000003,34689.11600000001,39497.96800000002,36182.11799999999
80,24563.07,43579.92000000001,41738.06000000003,34689.11600000001,40658.24000000003,35352.16799999999
100,24563.07,44112.720000000016,41738.06000000003,34689.11600000001,42995.30200000001,35352.16799999999
