gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,6351.735999999994,9666.855999999996,8092.223999999995,9544.013999999997,7599.563999999994,10976.703999999994
40,5810.957999999996,9664.515999999998,7446.139999999996,10064.319999999998,8011.667999999996,11352.277999999997
60,5810.957999999996,9664.515999999998,7446.139999999996,10064.319999999998,8011.667999999996,11352.277999999997
80,5810.957999999996,9242.751999999999,12838.651999999995,9991.575999999995,10218.363999999996,11352.277999999997
100,5810.957999999996,9919.899999999998,11547.521999999992,9991.575999999995,10218.363999999996,11352.277999999997
