gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,2212.2712000000015,3688.2672000000002,2608.981200000001,2553.4432,3653.085200000001,1829.4371999999996
40,2006.7772000000007,3910.1632000000013,2277.7732000000005,2617.0672000000004,3502.7212000000013,2055.3871999999997
60,2006.7772000000007,3910.1632000000013,2277.7732000000005,2617.0672000000004,3502.7212000000013,2054.9871999999996
80,2006.7772000000007,3910.1632000000013,2277.7732000000005,2828.695200000001,3502.7212000000013,2054.9871999999996
100,2006.7772000000007,3910.1632000000013,2277.7732000000005,2828.695200000001,3502.7212000000013,2054.9871999999996
