gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,30219.46600000002,45786.534000000036,40909.19000000003,44343.254000000015,43954.24799999998,36710.62800000001
40,25059.32800000001,44264.17200000002,39354.41000000004,47727.818000000014,42776.643999999986,37235.136000000006
60,25059.32800000001,44264.17200000002,39354.41000000004,46270.77800000003,42763.64399999999,37254.04600000001
80,25059.32800000001,44264.17200000002,39354.41000000004,46270.77800000003,42767.543999999994,37254.04600000001
100,25662.744000000006,43960.64400000002,38003.22800000004,45462.05800000003,42767.543999999994,34483.056000000004
