gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,24285.57000000002,44059.84000000003,41663.80800000002,33205.31200000004,41828.758000000016,39147.10200000001
40,24293.62000000002,44059.84000000003,41663.80800000002,33205.31200000004,41828.758000000016,39147.10200000001
60,24293.62000000002,44059.84000000003,41663.80800000002,33205.31200000004,41828.758000000016,39147.10200000001
80,24293.62000000002,44059.84000000003,41663.80800000002,33205.31200000004,41828.758000000016,39147.10200000001
100,24293.62000000002,44059.84000000003,41663.80800000002,33205.31200000004,41828.758000000016,39147.10200000001
