gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,2928.337200000001,3495.737200000001,2449.017200000001,3108.6992,3855.1992000000005,3537.9332000000013
40,2343.9612000000016,3448.601200000001,2364.5952000000007,2947.919200000001,3715.8992000000003,3244.3632000000016
60,2343.9612000000016,3448.601200000001,2364.5952000000007,2947.919200000001,3715.8992000000003,3244.3632000000016
80,2343.9612000000016,3448.601200000001,2364.5952000000007,2947.919200000001,3715.8992000000003,3244.3632000000016
100,2343.9612000000016,3448.601200000001,2364.5952000000007,2947.919200000001,3715.8992000000003,3244.3632000000016
