gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,984.8832,3207.0492000000013,1910.0852000000011,2358.7892000000006,2898.1692000000007,3162.2832000000003
40,984.8832,3207.0492000000013,1910.0852000000011,2358.7892000000006,2898.1692000000007,3162.2832000000003
60,2355.6672000000003,3207.0492000000013,3807.5972000000006,2324.8992000000007,2622.8412000000003,3162.2832000000003
80,2429.0992,3207.0492000000013,3627.3732000000005,2324.8992000000007,2622.8412000000003,3162.2832000000003
100,2429.0992,3207.0492000000013,3627.3732000000005,2324.8992000000007,2622.8412000000003,3162.2832000000003
