gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,18606.951999999994,31648.392000000043,34793.01800000003,36031.56,42376.672,32548.758000000005
40,31542.04600000001,43082.980000000025,34793.01800000003,36031.56,42376.672,32858.158
60,38340.542,44919.372000000025,34793.01800000003,36031.56,42376.672,32548.758000000005
80,36659.087999999996,45150.92000000003,34793.01800000003,36031.56,42376.672,32548.758000000005
100,36659.60799999999,45150.92000000003,34793.01800000003,36031.56,42376.672,32548.758000000005
