policy,generation,mean,std,min,max
RRFIFO,20,38453.841933333344,4807.731608657129,27071.81600000003,45009.28400000001
RRFIFO,40,38767.74833333334,4952.585670924094,27071.81600000003,47727.818000000014
RRFIFO,60,39270.88700000001,5219.97622609349,27071.81600000003,48816.734000000004
RRFIFO,80,39676.39080000001,5053.4997092285375,27071.81600000003,47782.89000000003
RRFIFO,100,39949.5662,5069.816461485055,27071.81600000003,47782.89000000003
RRLTP,20,39426.91840000001,3885.200065767677,31999.012000000024,45489.68200000002
RRLTP,40,39425.29586666668,4118.7973356866805,32237.016000000014,50224.67999999999
RRLTP,60,40007.729866666676,4684.822579778916,32438.130000000023,51929.716000000015
RRLTP,80,40563.11486666668,5203.962310158231,32438.130000000023,56725.82600000002
RRLTP,100,40741.83000000001,5170.823926543338,32012.212000000025,55286.73000000002
RRECA,20,38242.37733333334,4686.04383055938,24830.25199999997,48602.15400000004
RRECA,40,38289.29740000002,4705.665255980639,24985.77599999996,47566.23400000004
RRECA,60,38159.700800000006,4346.153209451347,24985.77599999996,45042.368000000024
RRECA,80,38733.08520000001,4613.305760943808,24985.77599999996,47060.56800000003
RRECA,100,38703.38320000001,4867.4109663828995,24358.975999999977,47060.56800000003
