policy,generation,mean,std,min,max
FIFO,20,22737.998266666676,4219.320349892501,17493.264000000006,34233.866
FIFO,40,22640.04566666668,3780.9602138158853,17439.552000000018,31542.04600000001
FIFO,60,22767.329466666673,4418.220291556011,17493.264000000006,38340.542
FIFO,80,23025.80060000001,4243.620750489563,16693.88800000002,36659.087999999996
FIFO,100,23268.231133333342,4036.0952061362987,18275.986000000015,36659.60799999999
LTP,20,40522.042800000025,4900.296330589992,31648.392000000043,49539.808000000034
LTP,40,40462.85900000002,3994.8059509179207,32186.882000000027,48859.84600000003
LTP,60,40736.06913333335,4140.786260117064,32186.882000000027,47800.276
LTP,80,41223.99980000002,4301.8505251287415,32186.882000000027,48631.82999999999
LTP,100,41745.858200000024,3861.0228978440127,34624.14800000002,48631.82999999999
STP,20,38548.00373333336,4902.281680921319,28404.908000000007,49079.59200000006
STP,40,38505.88280000002,4386.605775192532,28404.908000000007,46070.49400000004
STP,60,38962.87273333336,4301.1314803356745,28430.580000000013,45725.808000000034
STP,80,39371.186533333355,4974.677825869146,28430.580000000013,48121.196000000054
STP,100,39421.78033333335,4740.27436883206,28430.580000000013,47222.04200000004
