gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,5634.592,8153.015999999997,8614.116000000002,8161.244,8287.187999999993,8405.70399999999
40,3758.6320000000005,8021.155999999995,8615.180000000002,8194.340000000002,8806.601999999997,8223.375999999991
60,3758.6320000000005,8021.155999999995,7847.200000000002,8194.340000000002,9737.485999999997,8223.375999999991
80,3758.6320000000005,8021.155999999995,7847.200000000002,8194.340000000002,9737.485999999997,8223.375999999991
100,3758.6320000000005,8021.155999999995,7847.200000000002,8194.340000000002,9737.485999999997,8223.375999999991
