gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,26584.136000000006,43802.76000000001,41641.32000000005,35005.66000000003,39612.440000000024,39370.97400000001
40,26029.576000000005,43802.76000000001,41641.32000000005,41902.78000000001,39612.440000000024,39370.97400000001
60,26007.576,43802.76000000001,41641.32000000005,42953.618000000024,39612.440000000024,39370.97400000001
80,26007.576,43802.76000000001,41641.32000000005,43342.49200000002,39612.440000000024,39370.97400000001
100,26007.576,43802.76000000001,41641.32000000005,43354.91200000002,39612.440000000024,39370.97400000001
