gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,7787.923999999995,7418.123999999998,9168.502,7360.829999999998,6880.139999999996,10665.059999999996
40,7782.313999999996,7418.123999999998,8921.702000000001,7360.829999999998,6767.795999999997,10665.059999999996
60,7782.313999999996,7418.123999999998,8921.702000000001,7360.829999999998,6767.795999999997,10665.059999999996
80,7453.963999999996,7147.223999999997,8921.702000000001,7360.829999999998,7098.783999999998,10665.059999999996
100,7453.963999999996,7147.223999999997,8921.702000000001,12556.879999999997,9475.794,10665.059999999996
