gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,23092.836,40621.31400000003,42409.11600000003,38623.83600000004,31999.012000000024,24830.25199999997
40,23092.836,40621.31400000003,42409.11600000003,38623.83600000004,32438.130000000023,24985.77599999996
60,23092.836,41957.71400000003,42409.11600000003,38623.83600000004,32438.130000000023,24985.77599999996
80,23092.836,43065.568000000036,42409.11600000003,38623.83600000004,32438.130000000023,24985.77599999996
100,23092.836,43082.94800000003,42409.11600000003,38623.83600000004,32012.212000000025,24358.975999999977
