gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,2010.6912000000007,2325.5992000000006,2831.0032000000006,1170.7392000000002,3138.141200000001,2101.8971999999994
40,1975.5792000000013,1922.6592000000005,3107.219200000001,1170.7392000000002,4249.9072,2101.8971999999994
60,1975.5792000000013,1922.6592000000005,3125.369200000001,1170.7392000000002,4249.9072,2101.8971999999994
80,1975.5792000000013,1922.6592000000005,3125.369200000001,1170.7392000000002,4249.9072,2101.8971999999994
100,1975.5792000000013,2493.0432000000014,2714.1312000000007,3256.1352000000006,4249.9072,2101.8971999999994
