gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,1954.3972000000006,2957.0172000000016,2024.9452000000006,3473.5112000000004,3497.9972000000007,3266.5092
40,1903.5972000000006,2760.7912000000015,2024.9452000000006,3473.5112000000004,3325.987200000001,3266.5092
60,1903.5972000000006,2760.7912000000015,2024.9452000000006,3473.5112000000004,3325.987200000001,3266.5092
80,1905.6972000000007,2760.7912000000015,2024.9452000000006,3473.5112000000004,3325.987200000001,3266.5092
100,1903.5972000000006,2760.7912000000015,2024.9452000000006,3473.5112000000004,3325.987200000001,3266.5092
