gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,2553.817999999998,11078.891999999994,6299.6560000000045,9064.859999999997,9447.204000000003,9465.143999999997
40,2553.817999999998,11078.891999999994,6299.6560000000045,9064.859999999997,9447.204000000003,9465.143999999997
60,2553.817999999998,11078.891999999994,6299.6560000000045,9064.859999999997,9447.204000000003,9465.143999999997
80,3281.6399999999994,11078.891999999994,6299.6560000000045,10073.469999999996,9447.204000000003,9465.143999999997
100,2800.0599999999995,11078.891999999994,6740.976000000005,10967.159999999996,9447.204000000003,9465.143999999997
