gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,1002.0191999999996,1564.5792000000001,2028.555200000001,2555.8852000000006,2692.4632,2137.9592
40,1002.0191999999996,1564.5792000000001,3555.4952000000003,2555.8852000000006,2692.4632,2137.9592
60,1002.0191999999996,1564.5792000000001,3555.4952000000003,2555.8852000000006,2692.4632,2137.9592
80,1002.0191999999996,1564.5792000000001,3555.4952000000003,2555.8852000000006,2692.4632,2137.9592
100,1002.0191999999996,1564.5792000000001,3555.4952000000003,2555.8852000000006,2692.4632,2137.9592
