gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,2104.2511999999997,2704.7272,3469.9112000000005,2957.0292000000004,3204.9352000000003,2427.1632000000004
40,2308.5231999999996,2822.5571999999997,3469.9112000000005,2957.0292000000004,3204.9352000000003,2427.1632000000004
60,2308.5231999999996,2806.8771999999994,3469.9112000000005,2957.0292000000004,3204.9352000000003,2427.1632000000004
80,2303.4231999999997,2238.5032,3469.9112000000005,2957.0292000000004,3204.9352000000003,3789.0371999999998
100,2308.5231999999996,2238.5032,3469.9112000000005,2957.0292000000004,3204.9352000000003,3784.2372
