gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,23254.24400000002,39364.37000000003,34262.65800000002,43838.25599999999,43190.47800000001,39330.55200000001
40,20883.03000000002,36939.37800000003,33894.219999999994,36577.82200000002,40061.628000000004,39376.98600000003
60,20883.03000000002,36939.37800000003,41912.860000000015,40729.78600000003,40061.628000000004,39376.98600000003
80,20883.03000000002,36939.37800000003,47003.86200000003,41587.38600000006,40061.628000000004,39376.98600000003
100,20883.03000000002,36939.37800000003,47222.04200000004,39559.34400000004,40061.628000000004,39376.98600000003
