gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,786.1111999999999,2025.1432000000004,1836.365200000001,4162.667200000001,2881.0452000000005,2518.4391999999984
40,786.1111999999999,2277.4632,1836.365200000001,4162.667200000001,3804.7492000000007,2518.4391999999984
60,786.1111999999999,2104.1112,1836.365200000001,4162.667200000001,3804.7492000000007,2518.4391999999984
80,786.1111999999999,2104.1112,1836.365200000001,4162.667200000001,3804.7492000000007,2518.4391999999984
100,786.1111999999999,2104.1112,1836.365200000001,4162.667200000001,3804.7492000000007,2518.4391999999984
