gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,7212.668000000001,9143.408000000001,9635.168,7807.475999999999,8159.2439999999915,12077.003999999995
40,6691.022000000004,9067.251999999999,9363.792000000001,6912.275999999999,6087.743999999995,12595.979999999994
60,6691.022000000004,9067.251999999999,9363.792000000001,6912.275999999999,6087.743999999995,12595.979999999994
80,6691.022000000004,9067.251999999999,9363.792000000001,6912.275999999999,6087.743999999995,12595.979999999994
100,6691.022000000004,9067.251999999999,9363.792000000001,6912.275999999999,6087.743999999995,12595.979999999994
