gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,1713.4352000000003,3538.611200000002,2958.0512,2283.1892000000007,2922.9392000000007,1347.0732000000003
40,1713.4352000000003,3538.611200000002,2958.0512,2283.1892000000007,2922.9392000000007,1347.0732000000003
60,2541.9112,3538.611200000002,2958.0512,2283.1892000000007,2922.9392000000007,1347.0732000000003
80,2147.1732,3538.611200000002,3526.4012000000007,2283.1892000000007,2922.9392000000007,3106.7272000000003
100,2147.1732,3538.611200000002,4047.9212,2283.1892000000007,2922.9392000000007,2983.0332
