gen,FIFO,LTP,STP,RRFIFO,RRLTP,RRECA
20,6115.892000000002,9044.135999999997,8032.362000000001,4541.111999999993,7351.045999999995,11835.834
40,6115.892000000002,9044.135999999997,8032.362000000001,4541.111999999993,7630.945999999994,11835.834
60,6115.892000000002,9044.135999999997,8032.362000000001,4541.111999999993,7844.345999999994,11835.834
80,6115.892000000002,9044.135999999997,8032.362000000001,7192.564,7682.471999999995,14062.427999999998
100,6115.892000000002,9044.135999999997,8032.362000000001,7192.564,7682.471999999995,14062.427999999998
